Device: cuda
============ Train epoch 0 ============
 SVHN       | Train Loss: 1.0570 | Train Acc: 0.7227
 USPS       | Train Loss: 0.1579 | Train Acc: 0.9704
 SynthDigits| Train Loss: 0.3706 | Train Acc: 0.9664
 MNIST-M    | Train Loss: 0.4959 | Train Acc: 0.9139
 MNIST      | Test  Loss: 0.2178 | Test  Acc: 0.9359
 SVHN       | Test  Loss: 1.3954 | Test  Acc: 0.5589
 USPS       | Test  Loss: 0.2494 | Test  Acc: 0.9339
 SynthDigits| Test  Loss: 0.8038 | Test  Acc: 0.7608
 MNIST-M    | Test  Loss: 1.0150 | Test  Acc: 0.6784
============ Train epoch 10 ============
 MNIST      | Train Loss: 0.0724 | Train Acc: 0.9960
 SVHN       | Train Loss: 0.9738 | Train Acc: 0.7389
 USPS       | Train Loss: 0.1419 | Train Acc: 0.9785
 SynthDigits| Train Loss: 0.3147 | Train Acc: 0.9717
 MNIST-M    | Train Loss: 0.3652 | Train Acc: 0.9664
 MNIST      | Test  Loss: 0.1926 | Test  Acc: 0.9492
 SVHN       | Test  Loss: 1.3586 | Test  Acc: 0.5651
 USPS       | Test  Loss: 0.2226 | Test  Acc: 0.9430
 SynthDigits| Test  Loss: 0.7574 | Test  Acc: 0.7765
 MNIST-M    | Test  Loss: 0.9350 | Test  Acc: 0.7069
============ Train epoch 11 ============
 MNIST      | Train Loss: 0.0550 | Train Acc: 0.9973
 SVHN       | Train Loss: 0.8959 | Train Acc: 0.7820
 USPS       | Train Loss: 0.1348 | Train Acc: 0.9717
 SynthDigits| Train Loss: 0.2673 | Train Acc: 0.9838
 MNIST-M    | Train Loss: 0.3039 | Train Acc: 0.9852
 MNIST      | Test  Loss: 0.1758 | Test  Acc: 0.9505
 SVHN       | Test  Loss: 1.3117 | Test  Acc: 0.5836
 USPS       | Test  Loss: 0.2314 | Test  Acc: 0.9382
 SynthDigits| Test  Loss: 0.7306 | Test  Acc: 0.7828
 MNIST-M    | Test  Loss: 0.8774 | Test  Acc: 0.7362
============ Train epoch 12 ============
 MNIST      | Train Loss: 0.0690 | Train Acc: 1.0000
 SVHN       | Train Loss: 0.8376 | Train Acc: 0.8102
 USPS       | Train Loss: 0.1323 | Train Acc: 0.9744
 SynthDigits| Train Loss: 0.2503 | Train Acc: 0.9892
 MNIST-M    | Train Loss: 0.2953 | Train Acc: 0.9879
 MNIST      | Test  Loss: 0.1886 | Test  Acc: 0.9503
 SVHN       | Test  Loss: 1.2856 | Test  Acc: 0.5954
 USPS       | Test  Loss: 0.2242 | Test  Acc: 0.9446
 SynthDigits| Test  Loss: 0.7294 | Test  Acc: 0.7819
 MNIST-M    | Test  Loss: 0.8849 | Test  Acc: 0.7305
============ Train epoch 13 ============
 MNIST      | Train Loss: 0.0598 | Train Acc: 1.0000
 SVHN       | Train Loss: 0.7577 | Train Acc: 0.8708
 USPS       | Train Loss: 0.1244 | Train Acc: 0.9704
 SynthDigits| Train Loss: 0.2078 | Train Acc: 0.9919
 MNIST-M    | Train Loss: 0.2579 | Train Acc: 0.9906
 MNIST      | Test  Loss: 0.1911 | Test  Acc: 0.9477
 SVHN       | Test  Loss: 1.2160 | Test  Acc: 0.6297
 USPS       | Test  Loss: 0.2221 | Test  Acc: 0.9403
 SynthDigits| Test  Loss: 0.6979 | Test  Acc: 0.7885
 MNIST-M    | Test  Loss: 0.8639 | Test  Acc: 0.7321
============ Train epoch 14 ============
 MNIST      | Train Loss: 0.0582 | Train Acc: 0.9946
 SVHN       | Train Loss: 0.7047 | Train Acc: 0.8869
 USPS       | Train Loss: 0.1170 | Train Acc: 0.9704
 SynthDigits| Train Loss: 0.1875 | Train Acc: 0.9919
 MNIST-M    | Train Loss: 0.2279 | Train Acc: 0.9933
 MNIST      | Test  Loss: 0.1945 | Test  Acc: 0.9450
 SVHN       | Test  Loss: 1.1877 | Test  Acc: 0.6326
 USPS       | Test  Loss: 0.2098 | Test  Acc: 0.9398
 SynthDigits| Test  Loss: 0.6957 | Test  Acc: 0.7848
 MNIST-M    | Test  Loss: 0.8515 | Test  Acc: 0.7334
============ Train epoch 15 ============
 MNIST      | Train Loss: 0.0579 | Train Acc: 0.9946
 SVHN       | Train Loss: 0.7262 | Train Acc: 0.8520
 USPS       | Train Loss: 0.0906 | Train Acc: 0.9771
 SynthDigits| Train Loss: 0.2000 | Train Acc: 0.9825
 MNIST-M    | Train Loss: 0.2389 | Train Acc: 0.9906
 MNIST      | Test  Loss: 0.1890 | Test  Acc: 0.9464
 SVHN       | Test  Loss: 1.2250 | Test  Acc: 0.6118
 USPS       | Test  Loss: 0.1957 | Test  Acc: 0.9425
 SynthDigits| Test  Loss: 0.7067 | Test  Acc: 0.7743
 MNIST-M    | Test  Loss: 0.8866 | Test  Acc: 0.7151
============ Train epoch 16 ============
 MNIST      | Train Loss: 0.0534 | Train Acc: 0.9973
 SVHN       | Train Loss: 0.7668 | Train Acc: 0.7900
 USPS       | Train Loss: 0.0888 | Train Acc: 0.9825
 SynthDigits| Train Loss: 0.1736 | Train Acc: 0.9825
 MNIST-M    | Train Loss: 0.1974 | Train Acc: 0.9879
 MNIST      | Test  Loss: 0.1811 | Test  Acc: 0.9496
 SVHN       | Test  Loss: 1.3045 | Test  Acc: 0.5676
 USPS       | Test  Loss: 0.1918 | Test  Acc: 0.9446
 SynthDigits| Test  Loss: 0.7023 | Test  Acc: 0.7781
 MNIST-M    | Test  Loss: 0.8441 | Test  Acc: 0.7273
============ Train epoch 17 ============
 MNIST      | Train Loss: 0.0508 | Train Acc: 0.9973
 SVHN       | Train Loss: 0.6436 | Train Acc: 0.8506
 USPS       | Train Loss: 0.0687 | Train Acc: 0.9892
 SynthDigits| Train Loss: 0.1354 | Train Acc: 0.9933
 MNIST-M    | Train Loss: 0.2095 | Train Acc: 0.9879
 MNIST      | Test  Loss: 0.1804 | Test  Acc: 0.9494
 SVHN       | Test  Loss: 1.2236 | Test  Acc: 0.5956
 USPS       | Test  Loss: 0.1734 | Test  Acc: 0.9478
 SynthDigits| Test  Loss: 0.6519 | Test  Acc: 0.7960
 MNIST-M    | Test  Loss: 0.8730 | Test  Acc: 0.7102
============ Train epoch 18 ============
